date,total_count,count,ratio,phrase,category,month
2023-08-17,475136,64,0.00013469827586206896,aging crisis,limiting,2023-08
2023-08-18,449947,71,0.00015779636268271598,aging crisis,limiting,2023-08
2023-08-19,313733,29,9.243528733030953e-05,aging crisis,limiting,2023-08
2023-08-20,300751,34,0.00011305033067221721,aging crisis,limiting,2023-08
2023-08-21,438028,79,0.0001803537673390742,aging crisis,limiting,2023-08
2023-08-22,401105,40,9.972451103825682e-05,aging crisis,limiting,2023-08
2023-08-23,370413,52,0.00014038384181980655,aging crisis,limiting,2023-08
2023-08-24,503040,68,0.00013517811704834604,aging crisis,limiting,2023-08
2023-08-25,456353,53,0.0001161381649731677,aging crisis,limiting,2023-08
2023-08-26,308918,31,0.00010035025476016289,aging crisis,limiting,2023-08
2023-08-27,295769,25,8.452542355689745e-05,aging crisis,limiting,2023-08
2023-08-28,448775,39,8.69032365884909e-05,aging crisis,limiting,2023-08
2023-08-29,481751,53,0.00011001533987474857,aging crisis,limiting,2023-08
2023-08-30,490413,111,0.00022633984009396162,aging crisis,limiting,2023-08
2023-08-31,497911,68,0.00013657059193309648,aging crisis,limiting,2023-08
2023-09-01,476936,79,0.00016564067296241005,aging crisis,limiting,2023-09
2023-09-02,313119,33,0.00010539124102976824,aging crisis,limiting,2023-09
2023-09-03,311627,14,4.492550388766057e-05,aging crisis,limiting,2023-09
2023-09-04,435333,33,7.580403966618658e-05,aging crisis,limiting,2023-09
2023-09-05,493288,67,0.00013582329187006374,aging crisis,limiting,2023-09
2023-09-06,510752,81,0.00015858968736294718,aging crisis,limiting,2023-09
2023-09-07,488234,115,0.0002355427930049935,aging crisis,limiting,2023-09
2023-09-08,463682,40,8.626601852131418e-05,aging crisis,limiting,2023-09
2023-09-09,321208,23,7.160469228661802e-05,aging crisis,limiting,2023-09
